2020/04/20 17:56:22 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/14/13703/7518.pbf HTTP/1.1", upstream: "http://172.20.0.4:8088/api/tilestache/osmpoints/14/13703/7518.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/04/20 17:56:22 [error] 6#6: *12 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/14/13703/7519.pbf HTTP/1.1", upstream: "http://172.20.0.4:8088/api/tilestache/osmpoints/14/13703/7519.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/04/20 17:56:22 [error] 6#6: *8 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/14/13703/7520.pbf HTTP/1.1", upstream: "http://172.20.0.4:8088/api/tilestache/osmpoints/14/13703/7520.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4671 upstream prematurely closed connection while reading response header from upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/7/103/60.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/7/103/60.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4713 upstream prematurely closed connection while reading response header from upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/7/104/60.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/7/104/60.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4699 upstream prematurely closed connection while reading response header from upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/6/52/30.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/6/52/30.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4691 upstream prematurely closed connection while reading response header from upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/6/54/30.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/6/54/30.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4680 upstream prematurely closed connection while reading response header from upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/6/53/30.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/6/53/30.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4685 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/7/105/60.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/7/105/60.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4699 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/7/106/60.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/7/106/60.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4713 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/7/107/60.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/7/107/60.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4691 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/7/108/60.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/7/108/60.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4671 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/8/215/114.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/8/215/114.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4680 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/8/215/115.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/8/215/115.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4685 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/8/215/116.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/8/215/116.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4699 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/8/215/117.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/8/215/117.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4713 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/9/429/231.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/9/429/231.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4691 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/9/429/232.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/9/429/232.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4671 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/9/429/233.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/9/429/233.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4685 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/9/429/234.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/9/429/234.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4680 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/10/855/464.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/10/855/464.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4699 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/10/855/465.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/10/855/465.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4713 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/10/855/466.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/10/855/466.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/03 18:48:27 [error] 6#6: *4685 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/dataset_2_20200504003003/10/855/467.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/dataset_2_20200504003003/10/855/467.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/05 06:44:47 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/10/853/466.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/osmpoints/10/853/466.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/05 06:44:47 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/10/853/467.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/osmpoints/10/853/467.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/05 06:44:47 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/10/853/468.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/osmpoints/10/853/468.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/05 06:44:47 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/10/854/466.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/osmpoints/10/854/466.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/05 06:44:47 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/10/854/467.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/osmpoints/10/854/467.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/05 06:44:47 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/10/855/466.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/osmpoints/10/855/466.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/05 06:44:47 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/10/855/467.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/osmpoints/10/855/467.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/05 06:44:47 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/10/856/466.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/osmpoints/10/856/466.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
2020/05/05 06:44:47 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.10.8, server: localhost, request: "GET /api/tilestache/osmpoints/10/856/467.pbf HTTP/1.1", upstream: "http://172.22.0.7:8088/api/tilestache/osmpoints/10/856/467.pbf", host: "192.168.10.10:1001", referrer: "http://localhost:3000/"
